GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU,Number of Tensors,Index File Size,Meta File Size,Weight File Size,Graph File Size,Event File Size
9.526,0.01030535117,860117021,0.3,0.06541750508,0.5625,1063226,17.21022606,0.058104989,P100,custom1,0.7303966144,0.004378881836,62,6.71,1.13,8.12,2.33,4.05
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.59385967,0.068521969,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.57462025,0.068612422,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.20072269,0.070418951,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.58305645,0.068572731,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.77654266,0.067674829,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.71612453,0.067952673,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.61269665,0.068433638,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.30917931,0.06988521,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.33976746,0.069736138,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.34857082,0.069693352,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.42355633,0.069331029,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.71473122,0.067959107,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.02054172205,1087710757,0.3,0.06243700595,0.5625,1211194,14.56028366,0.068679981,P100,custom2,0.5750444426,0.008728453023,74,7.9,1.31,9.25,2.69,4.7
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.79740524,0.084764402,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.58290577,0.086334122,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.60806561,0.086146998,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
9.526,0.04099848816,1542543029,0.3,0.05650835621,0.5625,1451706,11.7188673,0.085332479,P100,custom3,0.4019318939,0.01742080713,98,10.41,1.68,11.09,3.42,6
