GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU,Number of Tensors,Index File Size,Meta File Size,Weight File Size,Graph File Size,Event File Size
4.113,0.02054172205,1087710757,0.3,,,1211194,6.485807419,0.154182808,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.399475098,0.156262816,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.324284077,0.158120664,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.525795937,0.153238013,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.525716305,0.153239883,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.493299961,0.154004898,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.21405077,0.160925624,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.451253414,0.155008637,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.482039452,0.154272433,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.513130665,0.153535995,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.487434387,0.154144141,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.495615959,0.153949988,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.02054172205,1087710757,0.3,,,1211194,6.515946865,0.153469637,K80,custom2,,0.03608610871,74,7.9,1.31,9.25,2.69,4.7
4.113,0.04099848816,1542543029,0.3,,,1451706,5.020240784,0.199193633,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.913663864,0.203514125,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.978164196,0.200877263,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.909885883,0.203670721,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.748450279,0.210595024,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.936988831,0.202552615,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.915909767,0.203421146,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.885709763,0.204678552,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.881494045,0.204855315,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.925238132,0.203035868,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.749066353,0.210567704,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.935577869,0.20261052,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.04099848816,1542543029,0.3,,,1451706,4.998350143,0.200066016,K80,custom3,,0.05621821792,98,10.41,1.68,11.09,3.42,6
4.113,0.07703780477,2343835089,0.3,,,2633658,3.442054033,0.290524202,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.455518007,0.289392212,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.445611954,0.290224208,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.344433069,0.299004339,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.448638678,0.28996949,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.432699919,0.291315881,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.451473951,0.28973129,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.433761597,0.291225809,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.366499662,0.297044438,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.458408117,0.289150374,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.451893091,0.28969611,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.457201958,0.289251254,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.07703780477,2343835089,0.3,,,2633658,3.461684465,0.288876704,K80,custom4,,0.09168557646,140,14.82,2.32,20.12,4.69,8.27
4.113,0.1027507169,2915531621,0.3,,,3391034,2.893651247,0.345584148,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.894292831,0.345507541,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.823950052,0.354113912,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.893695116,0.345578909,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.893852234,0.345560146,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.88970089,0.346056578,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.796462297,0.357594666,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.888324022,0.346221543,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.885887146,0.346513897,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.891526937,0.345838037,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.813499928,0.35542919,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.885677814,0.346539033,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.1027507169,2915531621,0.3,,,3391034,2.878062248,0.347456001,K80,custom5,,0.1169904146,170,17.94,2.78,25.9,5.6,9.9
4.113,0.430744489,10208089582,0.3,,,11661610,1.275221109,0.784177734,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.268373966,0.78841101,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.275852919,0.783789405,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.259142756,0.794191123,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.274915218,0.784365882,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.263232946,0.791619632,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.27523756,0.784167618,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.260091066,0.793593437,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.274992108,0.78431858,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.260757685,0.793173829,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.275763512,0.783844334,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.252214551,0.798585194,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.430744489,10208089582,0.3,,,11661610,1.277028084,0.783068135,K80,shakemid,,0.439778797,216,22.39,4.01,89.03,7.54,14.45
4.113,0.1489893754,3943594121,0.3,,,4610362,2.252577066,0.443935977,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.211069822,0.452269752,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.255709171,0.443319561,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.236259937,0.447175207,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.211784363,0.452123641,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.242702246,0.445890667,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.241036892,0.446222016,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.204989195,0.453516962,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.252756834,0.443900551,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.249999523,0.444444539,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.197183609,0.455128099,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.252702713,0.443911216,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1489893754,3943594121,0.3,,,4610362,2.244303942,0.445572447,K80,custom6,,0.1624952475,224,23.61,3.61,35.22,7.24,12.83
4.113,0.1951960826,4970946221,0.3,,,5718842,1.786564231,0.559733584,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.1951960826,4970946221,0.3,,,5718842,1.764783144,0.566641858,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.1951960826,4970946221,0.3,,,5718842,1.778690696,0.562211295,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.1951960826,4970946221,0.3,,,5718842,1.791554928,0.558174346,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.1951960826,4970946221,0.3,,,5718842,1.770513773,0.564807806,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.1951960826,4970946221,0.3,,,5718842,1.794423699,0.557281984,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
4.113,0.1951960826,4970946221,0.3,,,5718842,1.79624176,0.556717933,K80,custom7,,0.2079686361,278,29.26,4.44,43.68,8.88,15.76
