GPU TFLOPS,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU
9.526,7442600,0.3,,,1063226,17.10903358,0.058448655,P100,custom1,0.6355570976,0.02605427705
9.526,7442600,0.3,,,1063226,17.03313065,0.058709113,P100,custom1,0.6355570976,0.02605427705
9.526,7442600,0.3,,,1063226,16.69219208,0.059908249,P100,custom1,0.6355570976,0.02605427705
9.526,7442600,0.3,,,1063226,17.09203911,0.05850677,P100,custom1,0.6355570976,0.02605427705
9.526,7442600,0.3,,,1063226,16.72221756,0.059800681,P100,custom1,0.6355570976,0.02605427705
9.526,7442600,0.3,,,1063226,17.27558136,0.057885172,P100,custom1,0.6355570976,0.02605427705
9.526,7442600,0.3,,,1063226,17.33407211,0.057689849,P100,custom1,0.6355570976,0.02605427705
9.526,7442600,0.3,,,1063226,17.60160637,0.056812996,P100,custom1,0.6355570976,0.02605427705
9.526,7442600,0.3,,,1063226,17.43299484,0.05736249,P100,custom1,0.6355570976,0.02605427705
9.526,7442600,0.3,,,1063226,17.32820511,0.057709382,P100,custom1,0.6355570976,0.02605427705
9.526,7442600,0.3,,,1063226,17.21022606,0.058104989,P100,custom1,0.6355570976,0.02605427705
9.526,8478384,0.3,,,1211194,14.59385967,0.068521969,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.57462025,0.068612422,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.20072269,0.070418951,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.58305645,0.068572731,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.77654266,0.067674829,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.71612453,0.067952673,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.61269665,0.068433638,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.30917931,0.06988521,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.33976746,0.069736138,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.34857082,0.069693352,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.42355633,0.069331029,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.71473122,0.067959107,P100,custom2,0.5519343508,0.0364904807
9.526,8478384,0.3,,,1211194,14.56028366,0.068679981,P100,custom2,0.5519343508,0.0364904807
9.526,10161984,0.3,,,1451706,11.79740524,0.084764402,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,11.58290577,0.086334122,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,11.60806561,0.086146998,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,11.7188673,0.085332479,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,11.61792374,0.086073899,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,11.62123966,0.08604934,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,11.66220188,0.085747101,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,11.78188896,0.084876033,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,11.6306715,0.085979558,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,11.78413296,0.084859871,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,11.85632992,0.084343132,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,10.91746521,0.091596353,P100,custom3,0.4523845673,0.05345385574
9.526,10161984,0.3,,,1451706,11.87290573,0.08422538,P100,custom3,0.4523845673,0.05345385574
9.526,18435676,0.3,,,2633658,8.31135273,0.120317358,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,8.417821884,0.118795576,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,8.439863205,0.118485333,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,8.523361206,0.117324607,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,8.519062996,0.117383802,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,8.542740822,0.11705845,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,8.37704277,0.119373868,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,8.506596565,0.117555828,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,7.991317749,0.125135808,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,8.396598816,0.119095841,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,8.507139206,0.117548329,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,8.520931244,0.117358065,P100,custom4,0.2273989436,0.1368167331
9.526,18435676,0.3,,,2633658,8.551761627,0.116934971,P100,custom4,0.2273989436,0.1368167331
9.526,23737328,0.3,,,3391034,7.232980251,0.138255597,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,7.159316063,0.139678147,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,7.105890751,0.140728311,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,7.183849812,0.139201128,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,7.214893818,0.138602178,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,6.996669292,0.142925149,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,6.77968359,0.147499509,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,7.123395443,0.140382491,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,7.206431389,0.138764937,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,7.184682369,0.139184998,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,7.133215427,0.140189233,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,7.198049545,0.138926524,P100,custom5,0.165680735,0.1902343568
9.526,23737328,0.3,,,3391034,7.128687859,0.14027827,P100,custom5,0.165680735,0.1902343568
4.113,32272660,0.3,,,4610362,2.252577066,0.443935977,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.211069822,0.452269752,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.255709171,0.443319561,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.236259937,0.447175207,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.211784363,0.452123641,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.242702246,0.445890667,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.241036892,0.446222016,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.204989195,0.453516962,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.252756834,0.443900551,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.249999523,0.444444539,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.197183609,0.455128099,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.252702713,0.443911216,K80,custom6,0.01922155292,0.7041779073
4.113,32272660,0.3,,,4610362,2.244303942,0.445572447,K80,custom6,0.01922155292,0.7041779073
4.113,40032056,0.3,,,5718842,1.786564231,0.559733584,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.764783144,0.566641858,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.778690696,0.562211295,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.791554928,0.558174346,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.770513773,0.564807806,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.794423699,0.557281984,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.79624176,0.556717933,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.765581608,0.566385601,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.786681414,0.559696873,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.792325258,0.557934446,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.766345859,0.566140541,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.786755085,0.559673795,K80,custom7,0.006010836113,0.8852506714
4.113,40032056,0.3,,,5718842,1.78548336,0.560072428,K80,custom7,0.006010836113,0.8852506714
4.113,44949336,0.3,,,6421306,1.521830797,0.657103275,K80,custom8,0,1
4.113,44949336,0.3,,,6421306,1.505321026,0.664310126,K80,custom8,0,1
4.113,44949336,0.3,,,6421306,1.525435925,0.655550314,K80,custom8,0,1
4.113,44949336,0.3,,,6421306,1.506957531,0.663588707,K80,custom8,0,1
4.113,44949336,0.3,,,6421306,1.526370764,0.655148817,K80,custom8,0,1
4.113,44949336,0.3,,,6421306,1.510687947,0.661950075,K80,custom8,0,1
4.113,44949336,0.3,,,6421306,1.54087007,0.648983986,K80,custom8,0,1
4.113,44949336,0.3,,,6421306,1.513242602,0.660832572,K80,custom8,0,1
4.113,44949336,0.3,,,6421306,1.526536465,0.655077702,K80,custom8,0,1
4.113,44949336,0.3,,,6421306,1.508303642,0.662996476,K80,custom8,0,1
4.113,44949336,0.3,,,6421306,1.522517681,0.656806822,K80,custom8,0,1
4.113,44949336,0.3,,,6421306,1.511533618,0.661579728,K80,custom8,0,1
