GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU
4.113,0.2361785951,5882144461,0.3,,,6421306,1.505321026,0.664310126,K80,custom8,0.0819366742,0.2361785951
4.113,0.2361785951,5882144461,0.3,,,6421306,1.525435925,0.655550314,K80,custom8,0.0819366742,0.2361785951
4.113,0.2361785951,5882144461,0.3,,,6421306,1.506957531,0.663588707,K80,custom8,0.0819366742,0.2361785951
4.113,0.2361785951,5882144461,0.3,,,6421306,1.526370764,0.655148817,K80,custom8,0.0819366742,0.2361785951
4.113,0.2361785951,5882144461,0.3,,,6421306,1.510687947,0.661950075,K80,custom8,0.0819366742,0.2361785951
4.113,0.2361785951,5882144461,0.3,,,6421306,1.54087007,0.648983986,K80,custom8,0.0819366742,0.2361785951
4.113,0.2361785951,5882144461,0.3,,,6421306,1.513242602,0.660832572,K80,custom8,0.0819366742,0.2361785951
4.113,0.2361785951,5882144461,0.3,,,6421306,1.526536465,0.655077702,K80,custom8,0.0819366742,0.2361785951
4.113,0.2361785951,5882144461,0.3,,,6421306,1.508303642,0.662996476,K80,custom8,0.0819366742,0.2361785951
4.113,0.2361785951,5882144461,0.3,,,6421306,1.522517681,0.656806822,K80,custom8,0.0819366742,0.2361785951
4.113,0.2361785951,5882144461,0.3,,,6421306,1.511533618,0.661579728,K80,custom8,0.0819366742,0.2361785951
4.113,0.2361785951,5882144461,0.3,,,6421306,1.527991056,0.654454093,K80,custom8,0.0819366742,0.2361785951
4.113,0.001480562734,663908170,0.3,,,737418,4.315175533,0.231740283,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.351917744,0.229783755,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.355074883,0.229617177,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.2016325,0.238002729,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.337063789,0.230570738,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.34094286,0.2303647,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.334887028,0.230686519,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.356991768,0.229516155,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.348404884,0.229969386,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.06568718,0.245960881,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.340705872,0.230377277,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.354028702,0.229672349,K80,shake16,0.9490098146,0.001480562734
4.113,0.001480562734,663908170,0.3,,,737418,4.333805561,0.230744085,K80,shake16,0.9490098146,0.001480562734
4.113,0.2310560943,5768251646,0.3,,,6568282,1.642912149,0.608675273,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.63175106,0.612838578,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.648057699,0.606774872,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.632593036,0.61252252,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.650557518,0.605855894,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.62547648,0.615204226,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.656746745,0.603592555,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.626883864,0.614672026,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.653073072,0.604933936,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.634483933,0.611813906,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.658328056,0.603016994,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.631752253,0.61283813,K80,shake48,0.08411484602,0.2310560943
4.113,0.2310560943,5768251646,0.3,,,6568282,1.664426446,0.600807565,K80,shake48,0.08411484602,0.2310560943
4.113,0.6870591242,15906945758,0.3,,,18206970,0.821312308,1.217563636,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.828626513,1.206816321,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.830891609,1.203526416,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.830009103,1.204806063,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.829051673,1.206197433,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.825652421,1.211163408,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.827834129,1.207971458,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.832086921,1.201797522,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.831203997,1.203074099,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.835648239,1.19667577,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.83992064,1.190588673,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.830042303,1.204757874,K80,shake80,0.01241359829,0.6870591242
4.113,0.6870591242,15906945758,0.3,,,18206970,0.833638549,1.19956065,K80,shake80,0.01241359829,0.6870591242
